
# Surface 0 of 1 surfaces

# Curve title: "g(x,y)"

# IsoCurve 0, 100 points
# x y z type
-10 -10  380 i
 0.10101  6.78715  19.2085 i
 0.30303  6.78715  19.8532 i
 0.505051  6.78715  20.5795 i
 0.707071  6.78715  21.3875 i
 0.909091  6.78715  22.277 i
 1.11111  6.78715  23.2482 i
 1.31313  6.78715  24.301 i
 1.51515  6.78715  25.4354 i
 1.71717  6.78715  26.6515 i
 1.91919  6.78715  27.9492 i
 2.12121  6.78715  29.3285 i
 2.32323  6.78715  30.7894 i
 2.52525  6.78715  32.3319 i
 2.72727  6.78715  33.9561 i
 2.92929  6.78715  35.6619 i
 3.13131  6.78715  37.4493 i
 3.33333  6.78715  39.3184 i
 3.53535  6.78715  41.2691 i
 3.73737  6.78715  43.3014 i
 3.93939  6.78715  45.4153 i
 4.14141  6.78715  47.6108 i
 4.34343  6.78715  49.888 i
 4.54545  6.78715  52.2468 i
 4.74747  6.78715  54.6872 i
 4.94949  6.78715  57.2093 i
 5.15152  6.78715  59.8129 i
 5.35354  6.78715  62.4982 i
 5.55556  6.78715  65.2651 i
 5.75758  6.78715  68.1137 i
 5.9596  6.78715  71.0439 i
 6.16162  6.78715  74.0556 i
 6.36364  6.78715  77.1491 i
 6.56566  6.78715  80.3241 i
 6.76768  6.78715  83.5808 i
 6.9697  6.78715  86.919 i
 7.17172  6.78715  90.339 i
 7.37374  6.78715  93.8405 i
 7.57576  6.78715  97.4237 i
 7.77778  6.78715  101.088 i
 7.9798  6.78715  104.835 i
 8.18182  6.78715  108.663 i
 8.38384  6.78715  112.573 i
 8.58586  6.78715  116.564 i
 8.78788  6.78715  120.637 i
 8.9899  6.78715  124.791 i
 9.19192  6.78715  129.027 i
 9.39394  6.78715  133.345 i
 9.59596  6.78715  137.745 i
 9.79798  6.78715  142.226 i
 10  6.78715  146.788 i

# IsoCurve 210, 100 points
# x y z type
-10  6.86747  91.0176 i
-9.79798  6.86747  87.5973 i
-9.59596  6.86747  84.2586 i
-9.39394  6.86747  81.0015 i
-9.19192  6.86747  77.8261 i
-8.9899  6.86747  74.7323 i
-8.78788  6.86747  71.7201 i
-8.58586  6.86747  68.7895 i
-8.38384  6.86747  65.9406 i
-8.18182  6.86747  63.1733 i
-7.9798  6.86747  60.4876 i
-7.77778  6.86747  57.8835 i
-7.57576  6.86747  55.3611 i
-7.37374  6.86747  52.9203 i
-7.17172  6.86747  50.5611 i
-6.9697  6.86747  48.2835 i
-6.76768  6.86747  46.0876 i
-6.56566  6.86747  43.9733 i
-6.36364  6.86747  41.9406 i
-6.16162  6.86747  39.9895 i
-5.9596  6.86747  38.1201 i
-5.75758  6.86747  36.3323 i
-5.55556  6.86747  34.6261 i
-5.35354  6.86747  33.0015 i
-5.15152  6.86747  31.4586 i
-4.94949  6.86747  29.9972 i
-4.74747  6.86747  28.6175 i
-4.54545  6.86747  27.3195 i
-4.34343  6.86747  26.103 i
-4.14141  6.86747  24.9682 i
-3.93939  6.86747  23.915 i
-3.73737  6.86747  22.9434 i
-3.53535  6.86747  22.0535 i
-3.33333  6.86747  21.2451 i
-3.13131  6.86747  20.5184 i
-2.92929  6.86747  19.8734 i
-2.72727  6.86747  19.3099 i
-2.52525  6.86747  18.8281 i
-2.32323  6.86747  18.4279 i
-2.12121  6.86747  18.1093 i
-1.91919  6.86747  17.8723 i
-1.71717  6.86747  17.717 i
-1.51515  6.86747  17.6433 i
-1.31313  6.86747  17.6512 i
-1.11111  6.86747  17.7408 i
-0.909091  6.86747  17.9119 i
-0.707071  6.86747  18.1647 i
-0.505051  6.86747  18.4991 i
-0.30303  6.86747  18.9152 i
-0.10101  6.86747  19.4128 i
 0.10101  6.86747  19.9921 i
 0.30303  6.86747  20.653 i
 0.505051  6.86747  21.3956 i
 0.707071  6.86747  22.2197 i
 0.909091  6.86747  23.1255 i
 1.11111  6.86747  24.1129 i
 1.31313  6.86747  25.1819 i
 1.51515  6.86747  26.3326 i
 1.71717  6.86747  27.5649 i
 1.91919  6.86747  28.8788 i
 2.12121  6.86747  30.2743 i
 2.32323  6.86747  31.7515 i
 2.52525  6.86747  33.3102 i
 2.72727  6.86747  34.9507 i
 2.92929  6.86747  36.6727 i
 3.13131  6.86747  38.4763 i
 3.33333  6.86747  40.3616 i
 3.53535  6.86747  42.3285 i
 3.73737  6.86747  44.377 i
 3.93939  6.86747  46.5072 i
 4.14141  6.86747  48.719 i
 4.34343  6.86747  51.0124 i
 4.54545  6.86747  53.3874 i
 4.74747  6.86747  55.844 i
 4.94949  6.86747  58.3823 i
 5.15152  6.86747  61.0022 i
 5.35354  6.86747  63.7037 i
 5.55556  6.86747  66.4868 i
 5.75758  6.86747  69.3516 i
 5.9596  6.86747  72.298 i
 6.16162  6.86747  75.326 i
 6.36364  6.86747  78.4357 i
 6.56566  6.86747  81.6269 i
 6.76768  6.86747  84.8998 i
 6.9697  6.86747  88.2543 i
 7.17172  6.86747  91.6905 i
 7.37374  6.86747  95.2082 i
 7.57576  6.86747  98.8076 i
 7.77778  6.86747  102.489 i
 7.9798  6.86747  106.251 i
 8.18182  6.86747  110.096 i
 8.38384  6.86747  114.021 i
 8.58586  6.86747  118.029 i
 8.78788  6.86747  122.118 i
 8.9899  6.86747  126.289 i
 9.19192  6.86747  130.541 i
 9.39394  6.86747  134.875 i
 9.59596  6.86747  139.291 i
 9.79798  6.86747  143.788 i
 10  6.86747  148.367 i

# IsoCurve 211, 100 points
# x y z type
-10  6.94779  91.0027 i
-9.79798  6.94779  87.5986 i
-9.59596  6.94779  84.2762 i
-9.39394  6.94779  81.0354 i
-9.19192  6.94779  77.8762 i
-8.9899  6.94779  74.7986 i
-8.78788  6.94779  71.8026 i
-8.58586  6.94779  68.8883 i
-8.38384  6.94779  66.0556 i
-8.18182  6.94779  63.3045 i
-7.9798  6.94779  60.635 i
-7.77778  6.94779  58.0472 i
-7.57576  6.94779  55.541 i
-7.37374  6.94779  53.1164 i
-7.17172  6.94779  50.7734 i
-6.9697  6.94779  48.5121 i
-6.76768  6.94779  46.3324 i
-6.56566  6.94779  44.2343 i
-6.36364  6.94779  42.2178 i
-6.16162  6.94779  40.283 i
-5.9596  6.94779  38.4298 i
-5.75758  6.94779  36.6582 i
-5.55556  6.94779  34.9682 i
-5.35354  6.94779  33.3599 i
-5.15152  6.94779  31.8332 i
-4.94949  6.94779  30.3881 i
-4.74747  6.94779  29.0246 i
-4.54545  6.94779  27.7427 i
-4.34343  6.94779  26.5425 i
-4.14141  6.94779  25.4239 i
-3.93939  6.94779  24.387 i
-3.73737  6.94779  23.4316 i
-3.53535  6.94779  22.5579 i
-3.33333  6.94779  21.7658 i
-3.13131  6.94779  21.0553 i
-2.92929  6.94779  20.4265 i
-2.72727  6.94779  19.8792 i
-2.52525  6.94779  19.4136 i
-2.32323  6.94779  19.0296 i
-2.12121  6.94779  18.7273 i
-1.91919  6.94779  18.5066 i
-1.71717  6.94779  18.3675 i
-1.51515  6.94779  18.31 i
-1.31313  6.94779  18.3341 i
-1.11111  6.94779  18.4399 i
-0.909091  6.94779  18.6273 i
-0.707071  6.94779  18.8963 i
-0.505051  6.94779  19.2469 i
-0.30303  6.94779  19.6792 i
-0.10101  6.94779  20.1931 i
 0.10101  6.94779  20.7886 i
 0.30303  6.94779  21.4657 i
 0.505051  6.94779  22.2245 i
 0.707071  6.94779  23.0649 i
 0.909091  6.94779  23.9869 i
 1.11111  6.94779  24.9905 i
 1.31313  6.94779  26.0758 i
 1.51515  6.94779  27.2427 i
 1.71717  6.94779  28.4912 i
 1.91919  6.94779  29.8213 i
 2.12121  6.94779  31.2331 i
 2.32323  6.94779  32.7264 i
 2.52525  6.94779  34.3015 i
 2.72727  6.94779  35.9581 i
 2.92929  6.94779  37.6963 i
 3.13131  6.94779  39.5162 i
 3.33333  6.94779  41.4177 i
 3.53535  6.94779  43.4008 i
 3.73737  6.94779  45.4656 i
 3.93939  6.94779  47.612 i
 4.14141  6.94779  49.84 i
 4.34343  6.94779  52.1496 i
 4.54545  6.94779  54.5408 i
 4.74747  6.94779  57.0137 i
 4.94949  6.94779  59.5682 i
 5.15152  6.94779  62.2043 i
 5.35354  6.94779  64.9221 i
 5.55556  6.94779  67.7215 i
 5.75758  6.94779  70.6024 i
 5.9596  6.94779  73.5651 i
 6.16162  6.94779  76.6093 i
 6.36364  6.94779  79.7352 i
 6.56566  6.94779  82.9427 i
 6.76768  6.94779  86.2318 i
 6.9697  6.94779  89.6025 i
 7.17172  6.94779  93.0549 i
 7.37374  6.94779  96.5889 i
 7.57576  6.94779  100.204 i
 7.77778  6.94779  103.902 i
 7.9798  6.94779  107.681 i
 8.18182  6.94779  111.541 i
 8.38384  6.94779  115.483 i
 8.58586  6.94779  119.507 i
 8.78788  6.94779  123.612 i
 8.9899  6.94779  127.799 i
 9.19192  6.94779  132.068 i
 9.39394  6.94779  136.418 i
 9.59596  6.94779  140.85 i
 9.79798  6.94779  145.363 i
 10  6.94779  149.959 i

# IsoCurve 212, 100 points
# x y z type
-10  7.02811  91.0008 i
-9.79798  7.02811  87.6129 i
-9.59596  7.02811  84.3067 i
-9.39394  7.02811  81.0821 i
-9.19192  7.02811  77.9391 i
-8.9899  7.02811  74.8778 i
-8.78788  7.02811  71.898 i
-8.58586  7.02811  68.9999 i
-8.38384  7.02811  66.1835 i
-8.18182  7.02811  63.4486 i
-7.9798  7.02811  60.7954 i
-7.77778  7.02811  58.2238 i
-7.57576  7.02811  55.7338 i
-7.37374  7.02811  53.3254 i
-7.17172  7.02811  50.9987 i
-6.9697  7.02811  48.7536 i
-6.76768  7.02811  46.5901 i
-6.56566  7.02811  44.5082 i
-6.36364  7.02811  42.508 i
-6.16162  7.02811  40.5894 i
-5.9596  7.02811  38.7524 i
-5.75758  7.02811  36.997 i
-5.55556  7.02811  35.3233 i
-5.35354  7.02811  33.7311 i
-5.15152  7.02811  32.2207 i
-4.94949  7.02811  30.7918 i
-4.74747  7.02811  29.4445 i
-4.54545  7.02811  28.1789 i
-4.34343  7.02811  26.9949 i
-4.14141  7.02811  25.8926 i
-3.93939  7.02811  24.8718 i
-3.73737  7.02811  23.9327 i
-3.53535  7.02811  23.0752 i
-3.33333  7.02811  22.2993 i
-3.13131  7.02811  21.6051 i
-2.92929  7.02811  20.9924 i
-2.72727  7.02811  20.4614 i
-2.52525  7.02811  20.0121 i
-2.32323  7.02811  19.6443 i
-2.12121  7.02811  19.3582 i
-1.91919  7.02811  19.1537 i
-1.71717  7.02811  19.0308 i
-1.51515  7.02811  18.9895 i
-1.31313  7.02811  19.0299 i
-1.11111  7.02811  19.1519 i
-0.909091  7.02811  19.3555 i
-0.707071  7.02811  19.6408 i
-0.505051  7.02811  20.0076 i
-0.30303  7.02811  20.4561 i
-0.10101  7.02811  20.9862 i
 0.10101  7.02811  21.598 i
 0.30303  7.02811  22.2914 i
 0.505051  7.02811  23.0663 i
 0.707071  7.02811  23.923 i
 0.909091  7.02811  24.8612 i
 1.11111  7.02811  25.8811 i
 1.31313  7.02811  26.9825 i
 1.51515  7.02811  28.1656 i
 1.71717  7.02811  29.4304 i
 1.91919  7.02811  30.7767 i
 2.12121  7.02811  32.2047 i
 2.32323  7.02811  33.7143 i
 2.52525  7.02811  35.3056 i
 2.72727  7.02811  36.9784 i
 2.92929  7.02811  38.7329 i
 3.13131  7.02811  40.569 i
 3.33333  7.02811  42.4867 i
 3.53535  7.02811  44.4861 i
 3.73737  7.02811  46.5671 i
 3.93939  7.02811  48.7297 i
 4.14141  7.02811  50.9739 i
 4.34343  7.02811  53.2997 i
 4.54545  7.02811  55.7072 i
 4.74747  7.02811  58.1963 i
 4.94949  7.02811  60.767 i
 5.15152  7.02811  63.4194 i
 5.35354  7.02811  66.1534 i
 5.55556  7.02811  68.969 i
 5.75758  7.02811  71.8662 i
 5.9596  7.02811  74.845 i
 6.16162  7.02811  77.9055 i
 6.36364  7.02811  81.0476 i
 6.56566  7.02811  84.2713 i
 6.76768  7.02811  87.5766 i
 6.9697  7.02811  90.9636 i
 7.17172  7.02811  94.4322 i
 7.37374  7.02811  97.9824 i
 7.57576  7.02811  101.614 i
 7.77778  7.02811  105.328 i
 7.9798  7.02811  109.123 i
 8.18182  7.02811  113 i
 8.38384  7.02811  116.958 i
 8.58586  7.02811  120.998 i
 8.78788  7.02811  125.119 i
 8.9899  7.02811  129.323 i
 9.19192  7.02811  133.607 i
 9.39394  7.02811  137.974 i
 9.59596  7.02811  142.422 i
 9.79798  7.02811  146.952 i
 10  7.02811  151.563 i

# IsoCurve 213, 100 points
# x y z type
-10  7.10843  91.0118 i
-9.79798  7.10843  87.6401 i
-9.59596  7.10843  84.3501 i
-9.39394  7.10843  81.1418 i
-9.19192  7.10843  78.015 i
-8.9899  7.10843  74.9699 i
-8.78788  7.10843  72.0064 i
-8.58586  7.10843  69.1245 i
-8.38384  7.10843  66.3242 i
-8.18182  7.10843  63.6056 i
-7.9798  7.10843  60.9686 i
-7.77778  7.10843  58.4132 i
-7.57576  7.10843  55.9395 i
-7.37374  7.10843  53.5473 i
-7.17172  7.10843  51.2368 i
-6.9697  7.10843  49.0079 i
-6.76768  7.10843  46.8607 i
-6.56566  7.10843  44.795 i
-6.36364  7.10843  42.811 i
-6.16162  7.10843  40.9086 i
-5.9596  7.10843  39.0879 i
-5.75758  7.10843  37.3487 i
-5.55556  7.10843  35.6912 i
-5.35354  7.10843  34.1153 i
-5.15152  7.10843  32.6211 i
-4.94949  7.10843  31.2084 i
-4.74747  7.10843  29.8774 i
-4.54545  7.10843  28.628 i
-4.34343  7.10843  27.4602 i
-4.14141  7.10843  26.3741 i
-3.93939  7.10843  25.3696 i
-3.73737  7.10843  24.4467 i
-3.53535  7.10843  23.6054 i
-3.33333  7.10843  22.8458 i
-3.13131  7.10843  22.1677 i
-2.92929  7.10843  21.5713 i
-2.72727  7.10843  21.0566 i
-2.52525  7.10843  20.6234 i
-2.32323  7.10843  20.2719 i
-2.12121  7.10843  20.002 i
-1.91919  7.10843  19.8137 i
-1.71717  7.10843  19.7071 i
-1.51515  7.10843  19.682 i
-1.31313  7.10843  19.7386 i
-1.11111  7.10843  19.8768 i
-0.909091  7.10843  20.0967 i
-0.707071  7.10843  20.3982 i
-0.505051  7.10843  20.7813 i
-0.30303  7.10843  21.246 i
-0.10101  7.10843  21.7923 i
 0.10101  7.10843  22.4203 i
 0.30303  7.10843  23.1299 i
 0.505051  7.10843  23.9211 i
 0.707071  7.10843  24.7939 i
 0.909091  7.10843  25.7484 i
 1.11111  7.10843  26.7845 i
 1.31313  7.10843  27.9022 i
 1.51515  7.10843  29.1015 i
 1.71717  7.10843  30.3825 i
 1.91919  7.10843  31.7451 i
 2.12121  7.10843  33.1893 i
 2.32323  7.10843  34.7151 i
 2.52525  7.10843  36.3226 i
 2.72727  7.10843  38.0117 i
 2.92929  7.10843  39.7824 i
 3.13131  7.10843  41.6347 i
 3.33333  7.10843  43.5687 i
 3.53535  7.10843  45.5842 i
 3.73737  7.10843  47.6814 i
 3.93939  7.10843  49.8603 i
 4.14141  7.10843  52.1207 i
 4.34343  7.10843  54.4628 i
 4.54545  7.10843  56.8865 i
 4.74747  7.10843  59.3918 i
 4.94949  7.10843  61.9788 i
 5.15152  7.10843  64.6473 i
 5.35354  7.10843  67.3975 i
 5.55556  7.10843  70.2294 i
 5.75758  7.10843  73.1428 i
 5.9596  7.10843  76.1379 i
 6.16162  7.10843  79.2146 i
 6.36364  7.10843  82.3729 i
 6.56566  7.10843  85.6128 i
 6.76768  7.10843  88.9344 i
 6.9697  7.10843  92.3376 i
 7.17172  7.10843  95.8224 i
 7.37374  7.10843  99.3889 i
 7.57576  7.10843  103.037 i
 7.77778  7.10843  106.767 i
 7.9798  7.10843  110.578 i
 8.18182  7.10843  114.471 i
 8.38384  7.10843  118.445 i
 8.58586  7.10843  122.502 i
 8.78788  7.10843  126.639 i
 8.9899  7.10843  130.859 i
 9.19192  7.10843  135.16 i
 9.39394  7.10843  139.543 i
 9.59596  7.10843  144.007 i
 9.79798  7.10843  148.553 i
 10  7.10843  153.18 i

# IsoCurve 214, 100 points
# x y z type
-10  7.18876  91.0356 i
-9.79798  7.18876  87.6802 i
-9.59596  7.18876  84.4065 i
-9.39394  7.18876  81.2143 i
-9.19192  7.18876  78.1038 i
-8.9899  7.18876  75.0749 i
-8.78788  7.18876  72.1276 i
-8.58586  7.18876  69.2619 i
-8.38384  7.18876  66.4779 i
-8.18182  7.18876  63.7755 i
-7.9798  7.18876  61.1547 i
-7.77778  7.18876  58.6156 i
-7.57576  7.18876  56.158 i
-7.37374  7.18876  53.7821 i
-7.17172  7.18876  51.4879 i
-6.9697  7.18876  49.2752 i
-6.76768  7.18876  47.1442 i
-6.56566  7.18876  45.0948 i
-6.36364  7.18876  43.127 i
-6.16162  7.18876  41.2408 i
-5.9596  7.18876  39.4363 i
-5.75758  7.18876  37.7134 i
-5.55556  7.18876  36.0721 i
-5.35354  7.18876  34.5124 i
-5.15152  7.18876  33.0344 i
-4.94949  7.18876  31.638 i
-4.74747  7.18876  30.3232 i
-4.54545  7.18876  29.09 i
-4.34343  7.18876  27.9385 i
-4.14141  7.18876  26.8685 i
-3.93939  7.18876  25.8802 i
-3.73737  7.18876  24.9736 i
-3.53535  7.18876  24.1485 i
-3.33333  7.18876  23.4051 i
-3.13131  7.18876  22.7433 i
-2.92929  7.18876  22.1631 i
-2.72727  7.18876  21.6646 i
-2.52525  7.18876  21.2477 i
-2.32323  7.18876  20.9124 i
-2.12121  7.18876  20.6587 i
-1.91919  7.18876  20.4866 i
-1.71717  7.18876  20.3962 i
-1.51515  7.18876  20.3874 i
-1.31313  7.18876  20.4602 i
-1.11111  7.18876  20.6147 i
-0.909091  7.18876  20.8508 i
-0.707071  7.18876  21.1685 i
-0.505051  7.18876  21.5678 i
-0.30303  7.18876  22.0487 i
-0.10101  7.18876  22.6113 i
 0.10101  7.18876  23.2555 i
 0.30303  7.18876  23.9813 i
 0.505051  7.18876  24.7887 i
 0.707071  7.18876  25.6778 i
 0.909091  7.18876  26.6485 i
 1.11111  7.18876  27.7008 i
 1.31313  7.18876  28.8347 i
 1.51515  7.18876  30.0503 i
 1.71717  7.18876  31.3475 i
 1.91919  7.18876  32.7263 i
 2.12121  7.18876  34.1867 i
 2.32323  7.18876  35.7288 i
 2.52525  7.18876  37.3525 i
 2.72727  7.18876  39.0578 i
 2.92929  7.18876  40.8447 i
 3.13131  7.18876  42.7133 i
 3.33333  7.18876  44.6635 i
 3.53535  7.18876  46.6953 i
 3.73737  7.18876  48.8087 i
 3.93939  7.18876  51.0038 i
 4.14141  7.18876  53.2804 i
 4.34343  7.18876  55.6387 i
 4.54545  7.18876  58.0787 i
 4.74747  7.18876  60.6002 i
 4.94949  7.18876  63.2034 i
 5.15152  7.18876  65.8882 i
 5.35354  7.18876  68.6546 i
 5.55556  7.18876  71.5027 i
 5.75758  7.18876  74.4324 i
 5.9596  7.18876  77.4437 i
 6.16162  7.18876  80.5366 i
 6.36364  7.18876  83.7111 i
 6.56566  7.18876  86.9673 i
 6.76768  7.18876  90.3051 i
 6.9697  7.18876  93.7245 i
 7.17172  7.18876  97.2256 i
 7.37374  7.18876  100.808 i
 7.57576  7.18876  104.473 i
 7.77778  7.18876  108.218 i
 7.9798  7.18876  112.046 i
 8.18182  7.18876  115.955 i
 8.38384  7.18876  119.946 i
 8.58586  7.18876  124.018 i
 8.78788  7.18876  128.172 i
 8.9899  7.18876  132.408 i
 9.19192  7.18876  136.725 i
 9.39394  7.18876  141.124 i
 9.59596  7.18876  145.605 i
 9.79798  7.18876  150.167 i
 10  7.18876  154.811 i

# IsoCurve 215, 100 points
# x y z type
-10  7.26908  91.0724 i
-9.79798  7.26908  87.7332 i
-9.59596  7.26908  84.4757 i
-9.39394  7.26908  81.2998 i
-9.19192  7.26908  78.2055 i
-8.9899  7.26908  75.1928 i
-8.78788  7.26908  72.2617 i
-8.58586  7.26908  69.4123 i
-8.38384  7.26908  66.6445 i
-8.18182  7.26908  63.9583 i
-7.9798  7.26908  61.3538 i
-7.77778  7.26908  58.8308 i
-7.57576  7.26908  56.3895 i
-7.37374  7.26908  54.0299 i
-7.17172  7.26908  51.7518 i
-6.9697  7.26908  49.5554 i
-6.76768  7.26908  47.4406 i
-6.56566  7.26908  45.4074 i
-6.36364  7.26908  43.4558 i
-6.16162  7.26908  41.5859 i
-5.9596  7.26908  39.7976 i
-5.75758  7.26908  38.0909 i
-5.55556  7.26908  36.4658 i
-5.35354  7.26908  34.9224 i
-5.15152  7.26908  33.4606 i
-4.94949  7.26908  32.0804 i
-4.74747  7.26908  30.7818 i
-4.54545  7.26908  29.5649 i
-4.34343  7.26908  28.4296 i
-4.14141  7.26908  27.3759 i
-3.93939  7.26908  26.4038 i
-3.73737  7.26908  25.5134 i
-3.53535  7.26908  24.7045 i
-3.33333  7.26908  23.9774 i
-3.13131  7.26908  23.3318 i
-2.92929  7.26908  22.7678 i
-2.72727  7.26908  22.2855 i
-2.52525  7.26908  21.8848 i
-2.32323  7.26908  21.5657 i
-2.12121  7.26908  21.3283 i
-1.91919  7.26908  21.1725 i
-1.71717  7.26908  21.0983 i
-1.51515  7.26908  21.1057 i
-1.31313  7.26908  21.1948 i
-1.11111  7.26908  21.3654 i
-0.909091  7.26908  21.6177 i
-0.707071  7.26908  21.9516 i
-0.505051  7.26908  22.3672 i
-0.30303  7.26908  22.8644 i
-0.10101  7.26908  23.4432 i
 0.10101  7.26908  24.1036 i
 0.30303  7.26908  24.8456 i
 0.505051  7.26908  25.6693 i
 0.707071  7.26908  26.5746 i
 0.909091  7.26908  27.5615 i
 1.11111  7.26908  28.63 i
 1.31313  7.26908  29.7802 i
 1.51515  7.26908  31.012 i
 1.71717  7.26908  32.3254 i
 1.91919  7.26908  33.7204 i
 2.12121  7.26908  35.1971 i
 2.32323  7.26908  36.7554 i
 2.52525  7.26908  38.3953 i
 2.72727  7.26908  40.1168 i
 2.92929  7.26908  41.92 i
 3.13131  7.26908  43.8048 i
 3.33333  7.26908  45.7712 i
 3.53535  7.26908  47.8192 i
 3.73737  7.26908  49.9489 i
 3.93939  7.26908  52.1602 i
 4.14141  7.26908  54.4531 i
 4.34343  7.26908  56.8276 i
 4.54545  7.26908  59.2838 i
 4.74747  7.26908  61.8215 i
 4.94949  7.26908  64.4409 i
 5.15152  7.26908  67.142 i
 5.35354  7.26908  69.9246 i
 5.55556  7.26908  72.7889 i
 5.75758  7.26908  75.7348 i
 5.9596  7.26908  78.7623 i
 6.16162  7.26908  81.8715 i
 6.36364  7.26908  85.0622 i
 6.56566  7.26908  88.3346 i
 6.76768  7.26908  91.6887 i
 6.9697  7.26908  95.1243 i
 7.17172  7.26908  98.6416 i
 7.37374  7.26908  102.24 i
 7.57576  7.26908  105.921 i
 7.77778  7.26908  109.683 i
 7.9798  7.26908  113.527 i
 8.18182  7.26908  117.452 i
 8.38384  7.26908  121.459 i
 8.58586  7.26908  125.548 i
 8.78788  7.26908  129.718 i
 8.9899  7.26908  133.97 i
 9.19192  7.26908  138.304 i
 9.39394  7.26908  142.719 i
 9.59596  7.26908  147.216 i
 9.79798  7.26908  151.794 i
 10  7.26908  156.454 i

# IsoCurve 216, 100 points
# x y z type
-10  7.3494  91.1221 i
-9.79798  7.3494  87.7991 i
-9.59596  7.3494  84.5578 i
-9.39394  7.3494  81.3981 i
-9.19192  7.3494  78.32 i
-8.9899  7.3494  75.3236 i
-8.78788  7.3494  72.4088 i
-8.58586  7.3494  69.5756 i
-8.38384  7.3494  66.824 i
-8.18182  7.3494  64.154 i
-7.9798  7.3494  61.5657 i
-7.77778  7.3494  59.059 i
-7.57576  7.3494  56.6339 i
-7.37374  7.3494  54.2905 i
-7.17172  7.3494  52.0286 i
-6.9697  7.3494  49.8484 i
-6.76768  7.3494  47.7499 i
-6.56566  7.3494  45.7329 i
-6.36364  7.3494  43.7976 i
-6.16162  7.3494  41.9439 i
-5.9596  7.3494  40.1718 i
-5.75758  7.3494  38.4813 i
-5.55556  7.3494  36.8725 i
-5.35354  7.3494  35.3453 i
-5.15152  7.3494  33.8997 i
-4.94949  7.3494  32.5357 i
-4.74747  7.3494  31.2534 i
-4.54545  7.3494  30.0527 i
-4.34343  7.3494  28.9336 i
-4.14141  7.3494  27.8961 i
-3.93939  7.3494  26.9403 i
-3.73737  7.3494  26.0661 i
-3.53535  7.3494  25.2735 i
-3.33333  7.3494  24.5625 i
-3.13131  7.3494  23.9332 i
-2.92929  7.3494  23.3854 i
-2.72727  7.3494  22.9194 i
-2.52525  7.3494  22.5349 i
-2.32323  7.3494  22.232 i
-2.12121  7.3494  22.0108 i
-1.91919  7.3494  21.8712 i
-1.71717  7.3494  21.8132 i
-1.51515  7.3494  21.8369 i
-1.31313  7.3494  21.9422 i
-1.11111  7.3494  22.1291 i
-0.909091  7.3494  22.3976 i
-0.707071  7.3494  22.7477 i
-0.505051  7.3494  23.1795 i
-0.30303  7.3494  23.6929 i
-0.10101  7.3494  24.2879 i
 0.10101  7.3494  24.9646 i
 0.30303  7.3494  25.7229 i
 0.505051  7.3494  26.5627 i
 0.707071  7.3494  27.4843 i
 0.909091  7.3494  28.4874 i
 1.11111  7.3494  29.5722 i
 1.31313  7.3494  30.7386 i
 1.51515  7.3494  31.9866 i
 1.71717  7.3494  33.3162 i
 1.91919  7.3494  34.7275 i
 2.12121  7.3494  36.2204 i
 2.32323  7.3494  37.7949 i
 2.52525  7.3494  39.451 i
 2.72727  7.3494  41.1888 i
 2.92929  7.3494  43.0082 i
 3.13131  7.3494  44.9092 i
 3.33333  7.3494  46.8918 i
 3.53535  7.3494  48.9561 i
 3.73737  7.3494  51.102 i
 3.93939  7.3494  53.3295 i
 4.14141  7.3494  55.6386 i
 4.34343  7.3494  58.0294 i
 4.54545  7.3494  60.5017 i
 4.74747  7.3494  63.0558 i
 4.94949  7.3494  65.6914 i
 5.15152  7.3494  68.4086 i
 5.35354  7.3494  71.2075 i
 5.55556  7.3494  74.088 i
 5.75758  7.3494  77.0501 i
 5.9596  7.3494  80.0939 i
 6.16162  7.3494  83.2193 i
 6.36364  7.3494  86.4263 i
 6.56566  7.3494  89.7149 i
 6.76768  7.3494  93.0851 i
 6.9697  7.3494  96.537 i
 7.17172  7.3494  100.071 i
 7.37374  7.3494  103.686 i
 7.57576  7.3494  107.382 i
 7.77778  7.3494  111.161 i
 7.9798  7.3494  115.021 i
 8.18182  7.3494  118.962 i
 8.38384  7.3494  122.986 i
 8.58586  7.3494  127.09 i
 8.78788  7.3494  131.277 i
 8.9899  7.3494  135.545 i
 9.19192  7.3494  139.895 i
 9.39394  7.3494  144.326 i
 9.59596  7.3494  148.839 i
 9.79798  7.3494  153.434 i
 10  7.3494  158.11 i

# IsoCurve 217, 100 points
# x y z type
-10  7.42972  91.1847 i
-9.79798  7.42972  87.8779 i
-9.59596  7.42972  84.6528 i
-9.39394  7.42972  81.5094 i
-9.19192  7.42972  78.4475 i
-8.9899  7.42972  75.4673 i
-8.78788  7.42972  72.5687 i
-8.58586  7.42972  69.7517 i
-8.38384  7.42972  67.0164 i
-8.18182  7.42972  64.3627 i
-7.9798  7.42972  61.7906 i
-7.77778  7.42972  59.3001 i
-7.57576  7.42972  56.8912 i
-7.37374  7.42972  54.564 i
-7.17172  7.42972  52.3184 i
-6.9697  7.42972  50.1544 i
-6.76768  7.42972  48.0721 i
-6.56566  7.42972  46.0713 i
-6.36364  7.42972  44.1522 i
-6.16162  7.42972  42.3147 i
-5.9596  7.42972  40.5589 i
-5.75758  7.42972  38.8847 i
-5.55556  7.42972  37.2921 i
-5.35354  7.42972  35.7811 i
-5.15152  7.42972  34.3517 i
-4.94949  7.42972  33.004 i
